Ticker,Company,Sector,Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSS,"ANSYS, Inc.",Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AON,Aon Plc,Financial,Insurance Brokers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA,Apache Corporation,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APH,Amphenol Corporation,Technology,Electronic Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGO,Broadcom Inc.,Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVY,Avery Dennison Corporation,Industrials,Business Equipment & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,American Express Company,Financial,Credit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,The Boeing Company,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,Bank of America Corporation,Financial,Banks - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,"Franklin Resources, Inc.",Financial,Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,The Bank of New York Mellon Corporation,Financial,Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,"BlackRock, Inc.",Financial,Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLL,Ball Corporation,Consumer Cyclical,Packaging & Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Citigroup Inc.,Financial,Banks - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,Chubb Limited,Financial,Insurance - Property & Casualty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCI,Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL,Carnival Corporation & Plc,Consumer Cyclical,Travel Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDW,CDW Corporation,Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,Celanese Corporation,Basic Materials,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERN,Cerner Corporation,Healthcare,Health Information Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,Cigna Corporation,Healthcare,Healthcare Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA,Comerica Incorporated,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA,Comcast Corporation,Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNC,Centene Corporation,Healthcare,Healthcare Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COF,Capital One Financial Corporation,Financial,Credit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COP,ConocoPhillips,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM,"salesforce.com, inc.",Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSX,CSX Corporation,Industrials,Railroads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTAS,Cintas Corporation,Industrials,Specialty Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTL,"CenturyLink, Inc.",Communication Services,Telecom Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTXS,"Citrix Systems, Inc.",Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXO,Concho Resources Inc.,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,"Dominion Energy, Inc.",Utilities,Utilities - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD,"DuPont de Nemours, Inc.",Basic Materials,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFS,Discover Financial Services,Financial,Credit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,The Walt Disney Company,Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCA,"Discovery, Inc.",Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCK,"Discovery, Inc.",Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISH,DISH Network Corporation,Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOW,Dow Inc.,Basic Materials,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXC,DXC Technology Company,Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFX,Equifax Inc.,Industrials,Consulting Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIX,Edison International,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMN,Eastman Chemical Company,Basic Materials,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQIX,"Equinix, Inc. (REIT)",Real Estate,REIT - Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQR,Equity Residential,Real Estate,REIT - Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETFC,E*TRADE Financial Corporation,Financial,Capital Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETR,Entergy Corporation,Utilities,Utilities - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXC,Exelon Corporation,Utilities,Utilities - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST,Fastenal Company,Industrials,Industrial Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,"Facebook, Inc.",Communication Services,Internet Content & Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBHS,"Fortune Brands Home & Security, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE,FirstEnergy Corp.,Utilities,Utilities - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFIV,"F5 Networks, Inc.",Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISV,"Fiserv, Inc.",Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FITB,Fifth Third Bancorp,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLT,"FLEETCOR Technologies, Inc.",Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOX,Fox Corporation,Communication Services,Broadcasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOXA,Fox Corporation,Communication Services,Broadcasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRC,First Republic Bank,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,General Electric Company,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,Globe Life Inc.,Financial,Insurance - Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLW,Corning Incorporated,Technology,Electronic Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPN,Global Payments Inc.,Industrials,Specialty Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS,"The Gap, Inc.",Consumer Cyclical,Apparel Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBAN,Huntington Bancshares Incorporated,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HES,Hess Corporation,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC,HollyFrontier Corporation,Energy,Oil & Gas Refining & Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPQ,HP Inc.,Technology,Computer Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRB,"H&R Block, Inc.",Consumer Cyclical,Personal Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
